"","Phylo","Species","Family","Order","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status"
"11","Schistocichla leucostigma","Schistocichla_leucostigma","Thamnophilidae","Passeriformes",21.9,12.3,4.5,4.9,26.2,66.1,6.3,60.8,9.5,56.4,25.7,"Forest",1,"1","Carnivore","Invertivore","Generalist",-14.05,7.99,-0.89,-65.66,2969595.64,"Extant"
"12","Aulacorhynchus derbianus","Aulacorhynchus_derbianus","Ramphastidae","Piciformes",77.9,64,18.7,24,35.6,131.6,17.2,114.4,13.1,128,209.7,"Forest",1,"1","Herbivore","Frugivore","Insessorial",-17.3,7.19,-5.02,-69.99,469694.2,"Extant"
"13","Pseudoscops grammicus","Pseudoscops_grammicus","Strigidae","Strigiformes",30.4,16.4,10.1,15.5,40.6,211.6,52.7,159.1,24.9,115.8,335,"Forest",2,"1","Carnivore","Invertivore","Insessorial",17.7,18.53,18.16,-77.31,11021.79,"Extant"
"14","Zosterops meeki","Zosterops_meeki","Zosteropidae","Passeriformes",13.2,7.3,3,3.5,16.1,57.8,10.3,47.4,17.9,42.5,9,"Forest",1,"1","Omnivore","Omnivore","Insessorial",-11.66,-11.32,-11.51,153.47,813.98,"Extant"
"15","Prioniturus luconensis","Prioniturus_luconensis","Psittacidae","Psittaciformes",22.1,18.8,11.3,17,14.8,143.8,60.8,83,42.3,72.8,108,"Forest",1,"1","Herbivore","Frugivore","Insessorial",13.16,18.65,16.24,121.19,93519.26,"Extant"
"16","Ptilinopus rarotongensis","Ptilinopus_rarotongensis","Columbidae","Columbiformes",16.1,7,3.9,4.1,25.5,124.5,30,94.6,24,80,97.6,"Forest",2,"1","Herbivore","Frugivore","Insessorial",-21.25,-19.97,-20.66,-159.01,57.64,"Extant"
"17","Megalaima mystacophanos","Megalaima_mystacophanos","Ramphastidae","Piciformes",35.2,30,14.9,13.3,25.2,95.2,14.8,79,15.8,54.3,77.4,"Forest",1,"1","Omnivore","Frugivore","Insessorial",-5.95,16.55,1.44,108.11,1239604.69,"Extant"
"18","Rhipidura atra","Rhipidura_atra","Rhipiduridae","Passeriformes",14.9,6.1,4.1,3.7,22.2,78.7,14.1,64.6,17.9,86.7,12.2,"Forest",1,"1","Carnivore","Invertivore","Insessorial",-10.27,-0.05,-5.25,141.82,179053.16,"Extant"
"19","Pitohui kirhocephalus","Pitohui_kirhocephalus","Colluricinclidae","Passeriformes",30.3,18.8,8.2,9.1,33.3,117.6,13,104.8,10.9,103.8,72,"Forest",2,"1","Omnivore","Invertivore","Insessorial",-10.7,-0.01,-4.36,139.45,487398.82,"Extant"
"20","Tregellasia leucops","Tregellasia_leucops","Petroicidae","Passeriformes",14.7,8,4.7,4,19.3,74.4,16.1,58.2,21.7,48.4,15.6,"Forest",1,"1","Carnivore","Invertivore","Insessorial",-17.23,-0.39,-5.44,141.81,201214.41,"Extant"
"21","Calliphlox mitchellii","Calliphlox_mitchellii","Trochilidae","Apodiformes",17.4,13,1.5,1.3,3.9,35.7,23,12.3,65.1,26.8,3.1,"Forest",2,"1","Herbivore","Nectarivore","Aerial",-4.11,7.89,3,-77.01,59801.22,"Extant"
"22","Muscicapa ussheri","Muscicapa_ussheri","Muscicapidae","Passeriformes",9.8,5.8,3.9,3.5,13.9,82.6,21.3,60.4,26,52.2,17.8,"Forest",1,"1","Carnivore","Invertivore","Insessorial",4.35,11.97,7.02,-6.98,473137.79,"Extant"
"23","Gallicolumba canifrons","Gallicolumba_canifrons","Columbidae","Columbiformes",20.6,9.7,2.8,3.7,30.9,113,30,83,26.5,63,58.2,"Forest",1,"1","Herbivore","Granivore","Terrestrial",6.89,7.73,7.44,134.54,454.47,"Extant"
"24","Muscicapa adusta","Muscicapa_adusta","Muscicapidae","Passeriformes",12.6,6.5,4.2,2.9,13.6,63.4,12.4,50.8,19.6,49.5,10.4,"Forest",2,"1","Carnivore","Invertivore","Insessorial",-34.84,15.9,-10.16,30.43,2389660.85,"Extant"
"25","Microhierax erythrogenys","Microhierax_erythrogenys","Falconidae","Falconiformes",15.5,11.3,7.9,10.6,21.6,106.6,41.9,65.9,38.9,59.6,50,"Forest",2,"1","Carnivore","Invertivore","Insessorial",5.56,19.58,11.92,123.13,253762.69,"Extant"
"26","Psarocolius atrovirens","Psarocolius_atrovirens","Icteridae","Passeriformes",45.5,33.2,9.9,16.7,43.9,202.7,44.7,158,22.3,150.3,152,"Forest",1,"1","Carnivore","Omnivore","Insessorial",-18.56,-9.27,-14.43,-69.6,139269.14,"Extant"
"27","Glaucidium minutissimum","Glaucidium_minutissimum","Strigidae","Strigiformes",14.6,9.2,6.2,8.7,18.4,86.5,18.3,68.2,21.1,47.8,50,"Forest",1,"1","Carnivore","Invertivore","Insessorial",-26.55,-13.85,-20.7,-46.99,1209018.27,"Extant"
