"","x"
"502","Cereopsis novaehollandiae"
"503","Phaps histrionica"
"504","Lamprotornis pulcher"
"505","Mirafra sabota"
"506","Streptopelia tranquebarica"
"507","Actophilornis albinucha"
"508","Cossypha polioptera"
"509","Quiscalus major"
"510","Lagonosticta rufopicta"
"511","Anthus roseatus"
"512","Cinclodes taczanowskii"
"513","Charadrius pallidus"
"514","Spizocorys conirostris"
"515","Anthus cervinus"
"516","Melanocorypha maxima"
"517","Geopelia placida"
"518","Coturnix delegorguei"
"519","Emberiza tristrami"
"520","Muscisaxicola albilora"
"521","Oreopsar bolivianus"
"522","Francolinus streptophorus"
"523","Aphriza virgata"
"524","Rhinoptilus africanus"
"525","Modulatrix orostruthus"
"526","Tiaris bicolor"
"527","Eleoscytalopus psychopompus"
"528","Euphagus cyanocephalus"
"529","Pitta oatesi"
"530","Pomatorhinus erythrocnemis"
"531","Pauxi pauxi"
"532","Crypturellus duidae"
"533","Garrulax maximus"
"534","Anthus gutturalis"
"535","Gallinago hardwickii"
"536","Ardea sumatrana"
"537","Mycteria americana"
"538","Cryptospiza salvadorii"
"539","Catreus wallichi"
"540","Paroaria dominicana"
"541","Anser brachyrhynchus"
"542","Scolopax rusticola"
"543","Francolinus gularis"
"544","Pterocles gutturalis"
"545","Grallaria excelsa"
"546","Laterallus spilonotus"
"547","Rhinoptilus chalcopterus"
"548","Fluvicola albiventer"
"549","Anurolimnas fasciatus"
"550","Francolinus sephaena"
"551","Vidua larvaticola"
"552","Merulaxis ater"
"553","Leptoptilos dubius"
"554","Coturnix ypsilophora"
"555","Upucerthia albigula"
"556","Ardea humbloti"
"557","Atlantisia rogersi"
"558","Cursorius coromandelicus"
"559","Mirafra erythroptera"
"560","Zoothera sibirica"
"561","Aenigmatolimnas marginalis"
"562","Neotis nuba"
"563","Pellorneum ruficeps"
"564","Gallicolumba crinigera"
"565","Mirafra collaris"
"566","Phoenicopterus ruber"
"567","Amaurocichla bocagei"
"568","Erythropygia hartlaubi"
"569","Guttera pucherani"
"570","Passerina leclancherii"
"571","Acrocephalus luscinius"
"572","Emberiza caesia"
"573","Mirafra angolensis"
"574","Anthus furcatus"
"575","Pterocles bicinctus"
"576","Tringa ochropus"
"577","Turdus swalesi"
"578","Ardeola idae"
"579","Casuarius unappendiculatus"
"580","Vultur gryphus"
"581","Caracara cheriway"
"582","Scytalopus vicinior"
"583","Pinarocorys nigricans"
"584","Vanellus vanellus"
"585","Arborophila crudigularis"
"586","Galerida deva"
"587","Torreornis inexpectata"
"588","Certhilauda barlowi"
"589","Pomatorhinus mcclellandi"
"590","Phalaropus lobatus"
"591","Chamaeza meruloides"
"592","Sicalis taczanowskii"
"593","Ortygospiza locustella"
"594","Turdus plumbeus"
"595","Rhinoptilus bitorquatus"
"596","Coua cursor"
"597","Tringa melanoleuca"
"598","Calcarius pictus"
"599","Tetraogallus altaicus"
"600","Eupodotis vigorsii"
"601","Furnarius leucopus"
"602","Zoothera camaronensis"
"603","Acrocephalus syrinx"
"604","Crypturellus strigulosus"
"605","Tringa totanus"
"606","Centropus bernsteini"
"607","Pitta nympha"
"608","Vanellus leucurus"
"609","Crypturellus undulatus"
"610","Gyps coprotheres"
"611","Hylopezus auricularis"
"612","Amaurornis olivieri"
"613","Mesophoyx intermedia"
"614","Neotis heuglinii"
"615","Crax alberti"
"616","Latoucheornis siemsseni"
"617","Scolopax bukidnonensis"
"618","Zoothera andromedae"
"619","Eupodotis ruficrista"
"620","Psephotus chrysopterygius"
"621","Tchagra australis"
"622","Pitta steerii"
"623","Coryphospingus pileatus"
"624","Branta hutchinsii"
"625","Vanellus coronatus"
"626","Rimator albostriatus"
"627","Drymornis bridgesii"
"628","Atelornis pittoides"
"629","Upucerthia serrana"
"630","Chaetops frenatus"
"631","Geopelia humeralis"
"632","Upucerthia validirostris"
"633","Emberiza buchanani"
"634","Gallicolumba luzonica"
"635","Crypturellus cinereus"
"636","Larus hemprichii"
"637","Passer shelleyi"
"638","Gallinago andina"
"639","Corythopis delalandi"
"640","Schoenicola brevirostris"
"641","Alauda gulgula"
"642","Anthus leucophrys"
"643","Agelasticus cyanopus"
"644","Rallus semiplumbeus"
"645","Sericornis keri"
"646","Rhodopechys sanguineus"
"647","Pardirallus sanguinolentus"
"648","Pica nuttalli"
"649","Pterocles quadricinctus"
"650","Emberiza cineracea"
"651","Troglodytes cobbi"
"652","Melophus lathami"
"653","Colaptes rupicola"
"654","Crypturellus boucardi"
"655","Trachyphonus erythrocephalus"
"656","Pauxi unicornis"
"657","Metriopelia melanoptera"
"658","Coturnix coromandelica"
"659","Charadrius obscurus"
"660","Myrmecocichla tholloni"
"661","Gallinago macrodactyla"
"662","Quelea erythrops"
"663","Limosa limosa"
"664","Scytalopus sanctaemartae"
"665","Pitta baudii"
"666","Leptoptilos javanicus"
"667","Gyps himalayensis"
"668","Bostrychia hagedash"
"669","Stachyris nonggangensis"
"670","Oreothraupis arremonops"
"671","Gallinula nesiotis"
"672","Grallaria flavotincta"
"673","Colinus leucopogon"
"674","Charadrius vociferus"
"675","Pytilia afra"
"676","Ammodramus maritimus"
"677","Furnarius minor"
"678","Megapodius bernsteinii"
"679","Pellorneum fuscocapillus"
"680","Arborophila ardens"
"681","Lagonosticta nitidula"
"682","Corvus corax"
"683","Phimosus infuscatus"
"684","Gyps indicus"
"685","Apteryx australis"
"686","Ammoperdix heyi"
"687","Anser fabalis"
"688","Leucosticte nemoricola"
"689","Himantopus novaezelandiae"
"690","Brachypteracias squamiger"
"691","Calidris minuta"
"692","Colinus virginianus"
"693","Gallirallus rovianae"
"694","Ardea insignis"
"695","Gyps bengalensis"
"696","Chauna chavaria"
"697","Zoothera machiki"
"698","Dryolimnas cuvieri"
"699","Numenius americanus"
"700","Coturnix coturnix"
"701","Aimophila botterii"
"702","Enicurus ruficapillus"
