Phylo,Species,Family,Order,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Species.Status
Aquila verreauxii,Aquila_verreauxii,Accipitridae,Accipitriformes,58.2,35.5,18.3,27.6,117.4,590.2,200.5,389.8,34,403.5,4195,Rock,3,1,Carnivore,Vertivore,Aerial,-34.84,30.44,-9.59,29.12,4020161.71,Extant
Aquila wahlbergi,Aquila_wahlbergi,Accipitridae,Accipitriformes,39.3,23.9,12.1,17.4,71.1,413.8,174.8,235.5,42.6,216.8,640,Shrubland,2,1,Carnivore,Vertivore,Insessorial,-29.95,18.69,-4.41,23.1,9578321.34,Extant
Aviceda cuculoides,Aviceda_cuculoides,Accipitridae,Accipitriformes,25.5,17.1,10.6,13.9,33,264.6,114,153.5,42.4,154.2,277,Forest,1,1,Carnivore,Vertivore,Insessorial,-34.21,14.08,-3.74,21.08,10593852.38,Extant
Aviceda jerdoni,Aviceda_jerdoni,Accipitridae,Accipitriformes,45.5,21.7,12.9,15.9,34.7,302.8,76.9,222.9,25.6,211,363,Forest,2,1,Carnivore,Omnivore,Insessorial,-5.95,28.63,6.17,107.44,1592906.95,Extant
Aviceda leuphotes,Aviceda_leuphotes,Accipitridae,Accipitriformes,24.6,16.4,10.2,12.5,25,230.6,82,150.2,35.3,124,194,Forest,2,3,Carnivore,Invertivore,Insessorial,8.56,33.35,23.21,103.96,3528791.57,Extant
Aviceda madagascariensis,Aviceda_madagascariensis,Accipitridae,Accipitriformes,28.6,20.1,11.6,16.2,38.7,314.2,106,207.5,33.8,169.2,277,Forest,1,1,Carnivore,Vertivore,Insessorial,-25.09,-11.95,-18.1,47.27,340717.9,Extant
Aviceda subcristata,Aviceda_subcristata,Accipitridae,Accipitriformes,28.3,19.7,11.6,14.7,36.3,336.6,134.5,200,40.2,202,322.7,Forest,2,1,Carnivore,Omnivore,Insessorial,-34.97,2.65,-12.44,141.78,1718124.83,Extant
Busarellus nigricollis,Busarellus_nigricollis,Accipitridae,Accipitriformes,40.8,27.1,12.5,17.6,76.1,393.5,105.9,283.1,27,199.8,766.1,Forest,1,1,Carnivore,Aquatic predator,Insessorial,-34.19,23.94,-7.16,-59.48,12825637.87,Extant
Butastur indicus,Butastur_indicus,Accipitridae,Accipitriformes,40.5,18.4,10.4,14.5,53.4,327.6,155.1,175.9,46.9,191.8,414.6,Woodland,2,3,Carnivore,Vertivore,Insessorial,30.99,52.35,44.31,129.81,1828306.34,Extant
Butastur liventer,Butastur_liventer,Accipitridae,Accipitriformes,31.3,17,10.5,14,61.7,275,115.6,159.4,42,149,338,Woodland,3,1,Carnivore,Vertivore,Insessorial,-8.78,23.45,12.53,104.1,1357262.8,Extant
