Phylo,Species,Family,Order,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Species.Status
Stachyris nonggangensis,Stachyris_nonggangensis,Timaliidae,Passeriformes,19.6,11.4,3.5,5.2,25.4,70.5,6.4,64.1,9.1,67.5,29,Forest,1,1,Carnivore,Invertivore,Terrestrial,22.13,22.96,22.42,106.94,1097.47,Extant
Stachyris oglei,Stachyris_oglei,Timaliidae,Passeriformes,21,12.5,4.5,6.8,30.4,71.5,3.5,68,4.9,63,33,Forest,1,1,Carnivore,Invertivore,Insessorial,26.89,28.21,27.47,97.08,16469.54,Extant
Stachyris plateni,Stachyris_plateni,Timaliidae,Passeriformes,11.7,6.8,3,3.2,14.8,54.1,8,46.1,14.8,42,8.7,Forest,1,1,Carnivore,Invertivore,Insessorial,5.88,9.51,7.67,125.08,49089.24,Extant
Stachyris poliocephala,Stachyris_poliocephala,Timaliidae,Passeriformes,18.8,11.4,4,5.7,24.4,69,7.4,61,10.8,51,23.3,Forest,1,1,Carnivore,Invertivore,Insessorial,-5.95,8.54,1.89,106.49,715193.38,Extant
Stachyris pygmaea,Stachyris_pygmaea,Timaliidae,Passeriformes,11.1,6.2,2.8,3.2,15.3,50,5,44,10.2,41.5,8.7,Forest,1,1,Carnivore,Invertivore,Insessorial,10.26,12.47,11.42,125.07,6497.24,Extant
Stachyris pyrrhops,Stachyris_pyrrhops,Timaliidae,Passeriformes,13.8,8.2,2.3,3.1,18.6,52.5,4.7,47.8,8.9,51.5,9.6,Forest,2,1,Carnivore,Invertivore,Insessorial,26.73,33.48,29.66,80.76,173970.87,Extant
Stachyris ruficeps,Stachyris_ruficeps,Timaliidae,Passeriformes,15,8.9,2.6,3.3,19.6,55,5.4,50,9.8,47,10.3,Shrubland,1,1,Carnivore,Invertivore,Insessorial,11.34,34.2,27.11,106.57,2205807,Extant
Stachyris rufifrons,Stachyris_rufifrons,Timaliidae,Passeriformes,13.8,8,3.1,3.4,16,52.5,8.4,44.4,15.9,43,10.6,Forest,1,1,Carnivore,Invertivore,Insessorial,-5.95,23.91,6.74,104.97,2000080.61,Extant
Stachyris striata,Stachyris_striata,Timaliidae,Passeriformes,14.6,9,3.2,3.8,17.8,62.1,9.5,52.6,15.2,51.2,13.9,Forest,1,1,Carnivore,Invertivore,Insessorial,13.96,18.58,16.15,121.76,20400.67,Extant
Stachyris striolata,Stachyris_striolata,Timaliidae,Passeriformes,18,10.8,3.8,6,22.9,66.4,5.2,61.6,7.7,55.2,28,Forest,1,1,Carnivore,Invertivore,Insessorial,-5.62,23.51,16.8,101.66,593976.72,Extant
Stachyris thoracica,Stachyris_thoracica,Timaliidae,Passeriformes,22,12.7,4.3,7.7,28.5,79.2,5.6,73.2,7.1,65.8,12,Forest,1,1,Carnivore,Invertivore,Insessorial,-8.62,-5.87,-7.32,109.26,63832.94,Extant
Stachyris whiteheadi,Stachyris_whiteheadi,Timaliidae,Passeriformes,16.9,9.1,3.4,4,23.3,67.5,11,56.5,16.3,56,21.9,Forest,1,1,Carnivore,Invertivore,Insessorial,12.68,18.51,16.6,121.21,32110.97,Extant
Strophocincla cachinnans,Strophocincla_cachinnans,Timaliidae,Passeriformes,21.8,10.7,4,4.9,32.1,83.7,5.7,77.6,6.8,89.3,40.3,Forest,1,1,Omnivore,Invertivore,Insessorial,8.37,11.96,10.99,76.62,1236.13,Extant
Strophocincla fairbanki,Strophocincla_fairbanki,Timaliidae,Passeriformes,22.7,10.9,4.1,4.7,35.2,83,5.9,76.8,7.1,84,45.5,Forest,2,1,Omnivore,Invertivore,Insessorial,9.15,10.52,10.02,77.24,989.68,Extant
Timalia pileata,Timalia_pileata,Timaliidae,Passeriformes,16.5,9.4,3.1,5.4,21.9,66.4,4.9,61.1,7.5,74.8,16,Shrubland,1,1,Carnivore,Invertivore,Insessorial,-7.82,29.56,20.23,100.09,2665313.17,Extant
Trichastoma bicolor,Trichastoma_bicolor,Timaliidae,Passeriformes,19.3,11.6,4.8,4.8,29.6,84.3,9.1,75,10.8,65.2,27.2,Forest,1,1,Carnivore,Invertivore,Terrestrial,-5.95,10.87,1.4,111.32,785296.58,Extant
Trichastoma buettikoferi,Trichastoma_buettikoferi,Timaliidae,Passeriformes,15.8,8.7,3.8,4,25.6,65.8,5.9,59.9,9,52,17.1,Forest,1,1,Carnivore,Invertivore,Terrestrial,-5.95,5.66,-0.29,101.3,377490.65,Extant
Trichastoma celebense,Trichastoma_celebense,Timaliidae,Passeriformes,19.6,10.1,3.7,4,26.4,74.8,7.6,61.9,10.9,55.1,23.6,Shrubland,2,1,Carnivore,Invertivore,Terrestrial,-6.5,1.76,-2.17,121.2,179475.52,Extant
Trichastoma pyrrogenys,Trichastoma_pyrrogenys,Timaliidae,Passeriformes,16.2,9,4.1,3.7,26.7,64.9,8.9,56,13.6,54.5,23.2,Forest,1,1,Carnivore,Invertivore,Terrestrial,-8.76,6.51,1.19,114.45,193222.64,Extant
Trichastoma rostratum,Trichastoma_rostratum,Timaliidae,Passeriformes,18.3,10.7,3.8,3.8,23.9,70.4,8.8,60.7,12.7,46.6,21,Forest,2,1,Carnivore,Invertivore,Terrestrial,-5.05,12.79,1.32,112.22,789435.46,Extant
Trichastoma tickelli,Trichastoma_tickelli,Timaliidae,Passeriformes,15.6,8.3,3.1,3.7,25.8,62.2,5.9,55.1,9.6,52,17.1,Forest,1,1,Carnivore,Invertivore,Terrestrial,2.74,28.77,19.75,101.13,851979.33,Extant
Turdinus atrigularis,Turdinus_atrigularis,Timaliidae,Passeriformes,23.9,14.5,5,6,32.9,99.8,8.1,89.8,8.2,69.2,66.3,Forest,1,1,Carnivore,Invertivore,Terrestrial,-1.56,6.05,4.01,115.91,77388.47,Extant
Turdinus macrodactylus,Turdinus_macrodactylus,Timaliidae,Passeriformes,21.2,12.7,4.4,5.7,28.9,88.8,8,80.2,9.1,59.2,48.7,Forest,1,1,Carnivore,Invertivore,Terrestrial,-8.78,10.11,3.91,101.68,129852.78,Extant
Turdinus marmorata,Turdinus_marmorata,Timaliidae,Passeriformes,24.2,13.6,5.1,6.2,33.8,94.8,7.4,87.4,7.8,87.6,41,Forest,1,1,Carnivore,Invertivore,Generalist,-5.11,6.19,1.83,100.06,87991.72,Extant
Turdinus rufipectus,Turdinus_rufipectus,Timaliidae,Passeriformes,21.6,12.1,3.8,5.4,31.4,90.2,5.2,85.1,5.7,74,37,Forest,1,1,Carnivore,Invertivore,Generalist,-5.32,5.14,0.64,99.8,73599.83,Extant
Turdoides affinis,Turdoides_affinis,Timaliidae,Passeriformes,20.6,11.8,4.2,6.7,33.6,103.7,12.3,93.3,11.8,100.6,63.3,Shrubland,2,1,Omnivore,Invertivore,Generalist,5.92,19.25,14.1,78.16,745811.26,Extant
Turdoides altirostris,Turdoides_altirostris,Timaliidae,Passeriformes,21,14.7,4.2,6.3,27.4,73.5,7.1,66.4,9.6,100.5,33,Wetland,2,1,Carnivore,Invertivore,Generalist,30.35,37.18,32.88,44.89,149200.16,Extant
Turdoides aylmeri,Turdoides_aylmeri,Timaliidae,Passeriformes,19.1,12.5,3.6,5.3,23.9,73.4,4.8,68.2,6.6,114.6,35.3,Shrubland,2,1,Omnivore,Invertivore,Generalist,-9.85,9.94,1.03,40.72,1055408.06,Extant
Turdoides bicolor,Turdoides_bicolor,Timaliidae,Passeriformes,28.8,16.3,4.8,7,33.1,109.6,13.4,94.6,12.4,117.2,78.3,Woodland,2,1,Carnivore,Invertivore,Terrestrial,-28.34,-17.27,-22.05,22.37,1101560.2,Extant
Turdoides caudata,Turdoides_caudata,Timaliidae,Passeriformes,19.5,12.8,4.1,5.6,25.8,79.7,9.3,71.3,11.5,107.3,39.2,Shrubland,2,1,Omnivore,Omnivore,Terrestrial,8.34,37.02,25.34,70.82,3191144.09,Extant
Turdoides earlei,Turdoides_earlei,Timaliidae,Passeriformes,21.6,13.5,4.1,5.8,30.5,88.2,9.4,77.4,10.8,111.4,47,Wetland,3,1,Carnivore,Invertivore,Generalist,17.22,34.45,26.8,82.17,1024770.23,Extant
Turdoides fulva,Turdoides_fulva,Timaliidae,Passeriformes,23.2,14.4,4.5,6.3,28.6,96.2,11.2,85.1,11.6,125.2,61.4,Shrubland,3,1,Omnivore,Invertivore,Generalist,11.55,35.92,21.53,9.09,3666952.83,Extant
Turdoides gularis,Turdoides_gularis,Timaliidae,Passeriformes,21.4,12.9,4,6.1,28.7,88.2,8.1,79.9,9.1,149.6,45.5,Shrubland,2,1,Carnivore,Invertivore,Terrestrial,15.7,25.08,20.51,95.45,216441.28,Extant
Turdoides gymnogenys,Turdoides_gymnogenys,Timaliidae,Passeriformes,25.2,14.7,4.5,6.6,32.5,109.1,15.3,93.8,14,101,77,Shrubland,2,1,Carnivore,Invertivore,Generalist,-22.03,-10.41,-17.74,14.66,411624.93,Extant
Turdoides hartlaubii,Turdoides_hartlaubii,Timaliidae,Passeriformes,22.4,13.4,4.4,6.8,34.7,111.5,11.5,100.3,10.3,113.2,86.2,Wetland,2,1,Carnivore,Invertivore,Terrestrial,-21.42,-0.3,-13.38,23.72,1716629.63,Extant
Turdoides hindei,Turdoides_hindei,Timaliidae,Passeriformes,23.7,12.8,4.2,6.6,33.2,100.8,9.6,91.2,9.5,108.8,67.6,Shrubland,2,1,Omnivore,Omnivore,Generalist,-1.54,0.38,-0.71,37.53,13807.07,Extant
Turdoides hypoleuca,Turdoides_hypoleuca,Timaliidae,Passeriformes,21.9,11.8,4.1,6.8,32.7,106.9,9.8,94.6,9.4,108.1,74,Shrubland,2,1,Omnivore,Omnivore,Generalist,-7.79,1.04,-2.83,37.29,89042.46,Extant
Turdoides jardineii,Turdoides_jardineii,Timaliidae,Passeriformes,24.9,14,4.9,6.9,30.7,102.6,10.5,91.2,10.3,100.2,78.2,Shrubland,2,1,Carnivore,Invertivore,Generalist,-29.57,2.41,-12.49,27.65,5822352.5,Extant
Turdoides leucocephala,Turdoides_leucocephala,Timaliidae,Passeriformes,23.5,13.5,4.5,6.3,31.1,104.5,11.2,93.1,10.8,106.6,63.3,Shrubland,2,1,Carnivore,Invertivore,Terrestrial,9.98,17.91,13.94,35.93,265511.5,Extant
Turdoides leucopygia,Turdoides_leucopygia,Timaliidae,Passeriformes,26.2,14.9,4.6,7,34.2,114.9,11.8,103.1,10.2,110,82.4,Shrubland,2,1,Omnivore,Omnivore,Generalist,4.57,16.82,9.68,38.68,693637.92,Extant
Turdoides longirostris,Turdoides_longirostris,Timaliidae,Passeriformes,20.9,13,3.6,5.7,28,74.2,5,68.8,6.8,110.8,35,Grassland,3,1,Carnivore,Invertivore,Terrestrial,24.84,27.71,26.26,92.19,28660.3,Extant
Turdoides malcolmi,Turdoides_malcolmi,Timaliidae,Passeriformes,21.2,13.4,4.6,7.6,31.5,115.2,17.6,97.4,15.4,136.6,75.7,Shrubland,2,1,Carnivore,Invertivore,Generalist,10.13,31.85,22.02,77.1,1922153.02,Extant
Turdoides melanops,Turdoides_melanops,Timaliidae,Passeriformes,26.3,16.2,5,6.6,34.2,110.2,10.9,99.3,9.8,115.7,77,Woodland,2,1,Carnivore,Invertivore,Generalist,-20.16,-14.55,-18.12,18.12,224027.26,Extant
Turdoides nipalensis,Turdoides_nipalensis,Timaliidae,Passeriformes,23.6,14.2,4.5,6.3,29.7,82.2,4.7,77.8,5.7,112.6,61,Shrubland,2,1,Carnivore,Invertivore,Terrestrial,26.83,29.77,28.38,83.4,28765.27,Extant
Turdoides plebejus,Turdoides_plebejus,Timaliidae,Passeriformes,23.7,12.9,4.7,6.6,33.1,105.9,11,94.5,10.4,101.8,62.5,Woodland,2,1,Omnivore,Invertivore,Terrestrial,-1.14,20.84,9.34,11.89,5173060.81,Extant
Turdoides reinwardii,Turdoides_reinwardii,Timaliidae,Passeriformes,25.6,14.6,5,6.5,33.6,114.4,12.9,104.3,11,113.2,78.8,Woodland,2,1,Omnivore,Omnivore,Generalist,2.54,16.35,9.77,0.34,2152069.64,Extant
Turdoides rubiginosa,Turdoides_rubiginosa,Timaliidae,Passeriformes,20,11.3,3.6,5.5,27.2,83.4,5.9,77.6,7,101.9,40.6,Shrubland,2,1,Carnivore,Invertivore,Terrestrial,-8.33,14.31,2.49,37.93,1410146.95,Extant
Turdoides rufescens,Turdoides_rufescens,Timaliidae,Passeriformes,22.9,12.5,4.7,7.4,32.7,96.6,7.2,88.5,7.6,115.2,64.5,Forest,2,1,Carnivore,Invertivore,Insessorial,5.92,7.57,6.64,80.44,12170.71,Extant
Turdoides sharpei,Turdoides_sharpei,Timaliidae,Passeriformes,23,12.6,4.4,6.4,36.2,112.2,10.2,101.3,9.2,108.7,79.3,Woodland,2,1,Carnivore,Invertivore,Insessorial,-8.63,2.19,-2.08,32.6,532508.01,Extant
Turdoides squamiceps,Turdoides_squamiceps,Timaliidae,Passeriformes,25.4,15.5,4.2,6.9,30.7,109.8,13.3,96.7,12.1,143.2,72.9,Shrubland,3,1,Carnivore,Invertivore,Generalist,12.59,32.13,22.08,44.92,1273158.32,Extant
Turdoides squamulata,Turdoides_squamulata,Timaliidae,Passeriformes,22.8,12.8,4.6,7,30.5,102.2,8.2,94,8,100.7,69.4,Shrubland,2,1,Omnivore,Omnivore,Insessorial,-4.64,6.76,1.3,42.13,64347.57,Extant
Turdoides striata,Turdoides_striata,Timaliidae,Passeriformes,24.3,14.8,4.8,7.5,32.4,99,9.6,91.2,9.5,101.4,66,Woodland,2,1,Omnivore,Omnivore,Generalist,8.07,35,22.9,78.66,3131719.31,Extant
Turdoides subrufa,Turdoides_subrufa,Timaliidae,Passeriformes,20.4,12.1,4.6,7.1,32.3,89.6,6.3,83.4,7,112.6,66.7,Shrubland,2,1,Carnivore,Invertivore,Generalist,8.07,19.51,13.08,75.67,178058.68,Extant
Turdoides tenebrosa,Turdoides_tenebrosa,Timaliidae,Passeriformes,23.3,13.3,4.3,6.2,33,118.6,13.3,105.3,11.2,118.5,76,Shrubland,2,1,Carnivore,Invertivore,Terrestrial,0.99,9.36,4.45,31.38,294743.09,Extant
Xiphirhynchus superciliaris,Xiphirhynchus_superciliaris,Timaliidae,Passeriformes,50.2,43.3,3.6,4.9,30.8,75,7.3,67.7,9.7,90,28,Shrubland,1,1,Omnivore,Invertivore,Generalist,20.1,29.13,24.98,95.38,664803.5,Extant
Yuhina bakeri,Yuhina_bakeri,Timaliidae,Passeriformes,12.7,6.5,3.4,3.9,20.2,68,13.8,55.2,20,52.5,17.1,Forest,1,1,Omnivore,Invertivore,Insessorial,24.06,29.6,26.71,94.45,200853.53,Extant
Yuhina brunneiceps,Yuhina_brunneiceps,Timaliidae,Passeriformes,13.1,6.7,2.3,2.8,17.2,62.8,11.8,51.2,18.7,48.3,12.5,Forest,2,1,Omnivore,Omnivore,Insessorial,22.32,24.84,23.79,121.11,13673.61,Extant
Yuhina castaniceps,Yuhina_castaniceps,Timaliidae,Passeriformes,11,6.1,3,3.2,16.8,58.7,12.9,46.6,21.7,55.1,11.8,Forest,2,1,Carnivore,Invertivore,Insessorial,12.22,28.83,23.33,95.75,495231.6,Extant
Yuhina diademata,Yuhina_diademata,Timaliidae,Passeriformes,14.8,6.9,3.2,3.6,21,74.6,11.2,63.4,15.1,75.5,22,Forest,1,1,Carnivore,Invertivore,Insessorial,21.75,36.02,28.43,104.37,1124238.68,Extant
Yuhina everetti,Yuhina_everetti,Timaliidae,Passeriformes,11.2,6.1,3.1,3.5,16.7,60.1,10.5,49.9,17.3,58.6,12.1,Forest,1,1,Carnivore,Invertivore,Insessorial,-3.81,6.37,1.68,114.69,183515.14,Extant
Yuhina flavicollis,Yuhina_flavicollis,Timaliidae,Passeriformes,12.8,6.3,3.1,3.3,19.3,62.8,10.3,52.2,16.5,52,16.9,Forest,1,1,Carnivore,Invertivore,Insessorial,17.61,32.8,25.82,93.08,622981.09,Extant
Yuhina gularis,Yuhina_gularis,Timaliidae,Passeriformes,16.3,8.2,3.3,3.2,20.4,72.4,13.4,59,18.6,64.5,20.8,Forest,1,1,Carnivore,Invertivore,Insessorial,14.74,31.76,26.77,94.62,515717.01,Extant
Yuhina humilis,Yuhina_humilis,Timaliidae,Passeriformes,12.6,6.8,3.1,3.6,18.3,62.7,9.6,52.6,15.4,51.8,14,Forest,1,1,Omnivore,Invertivore,Insessorial,15.69,22.27,19.81,97.96,57796.56,Extant
Yuhina nigrimenta,Yuhina_nigrimenta,Timaliidae,Passeriformes,12.5,6.9,2.8,2.9,14.9,55.2,11.7,43.4,21,39.4,9.5,Forest,1,1,Omnivore,Invertivore,Insessorial,11.02,34.47,26.12,104.49,2065413.29,Extant
Yuhina occipitalis,Yuhina_occipitalis,Timaliidae,Passeriformes,16.2,8.3,3,2.8,16.8,60.9,9.6,51.6,15.6,51.7,13,Forest,1,1,Omnivore,Invertivore,Insessorial,23.17,29.9,26.6,95.77,355046.54,Extant
Yuhina torqueola,Yuhina_torqueola,Timaliidae,Passeriformes,11.4,6.2,3,3.5,18,63.8,16.2,47.8,25.4,59,11.8,Forest,2,1,Carnivore,Invertivore,Insessorial,15.71,31.77,25.6,109.2,2186606.38,Extant
Campylorhynchus albobrunneus,Campylorhynchus_albobrunneus,Troglodytidae,Passeriformes,24.2,15.5,4.4,5.2,25.1,82.2,12.3,69.9,15,82,32.9,Forest,1,1,Carnivore,Invertivore,Insessorial,1.44,9.64,6.14,-77.57,96308.3,Extant
Campylorhynchus brunneicapillus,Campylorhynchus_brunneicapillus,Troglodytidae,Passeriformes,26.1,16.4,4,5.7,26.2,83.2,11.3,70.7,13.7,86.4,38.9,Shrubland,3,1,Carnivore,Invertivore,Insessorial,19.31,38.69,29.03,-105.91,1847263.76,Extant
Campylorhynchus chiapensis,Campylorhynchus_chiapensis,Troglodytidae,Passeriformes,30.6,18.2,4.7,5.7,30.4,90.2,10.8,79.4,12,85,50.9,Forest,1,1,Carnivore,Invertivore,Terrestrial,14.53,16.14,15.34,-92.93,6221.46,Extant
Campylorhynchus fasciatus,Campylorhynchus_fasciatus,Troglodytidae,Passeriformes,27.7,18.2,4.5,4.9,26,83.1,10.5,72.4,12.6,88.8,30,Shrubland,3,1,Carnivore,Invertivore,Insessorial,-10.47,-0.74,-4.88,-79.7,121819.89,Extant
Campylorhynchus griseus,Campylorhynchus_griseus,Troglodytidae,Passeriformes,29.6,19,4.5,6,29,83.8,10.6,73.2,12.6,82.2,42.4,Shrubland,2,1,Carnivore,Invertivore,Insessorial,1.21,12.46,7.65,-68.94,982980.09,Extant
Campylorhynchus gularis,Campylorhynchus_gularis,Troglodytidae,Passeriformes,22.4,13,3.7,5.3,22.9,73.6,10.6,62.1,14.6,71.6,30.1,Shrubland,2,1,Carnivore,Invertivore,Generalist,18.38,28.33,22.2,-103.84,243629.76,Extant
Campylorhynchus jocosus,Campylorhynchus_jocosus,Troglodytidae,Passeriformes,26.1,16.6,3.8,4.8,22.1,72,9.9,62.1,13.6,67.2,27.6,Shrubland,2,1,Omnivore,Invertivore,Insessorial,16.04,19,17.67,-97.85,89805.27,Extant
Campylorhynchus megalopterus,Campylorhynchus_megalopterus,Troglodytidae,Passeriformes,24.6,15.2,3.8,4.8,25.2,91.1,14.6,75.5,16.2,88.3,33.1,Forest,1,1,Carnivore,Invertivore,Insessorial,16.85,20.28,19.1,-99.75,80148.81,Extant
Campylorhynchus nuchalis,Campylorhynchus_nuchalis,Troglodytidae,Passeriformes,20.3,12.6,3.8,4.2,22.2,72.1,10.4,61.8,14.4,77.2,23.2,Woodland,3,1,Carnivore,Invertivore,Insessorial,6.39,11.59,8.72,-68.15,506629.36,Extant
Campylorhynchus rufinucha,Campylorhynchus_rufinucha,Troglodytidae,Passeriformes,23.9,14.3,4,5.1,22.6,70.8,7.4,63.3,10.6,72.2,31,Shrubland,3,1,Carnivore,Invertivore,Insessorial,9.52,19.77,14.93,-91.43,308887.1,Extant
Campylorhynchus turdinus,Campylorhynchus_turdinus,Troglodytidae,Passeriformes,25.1,15.9,4.1,4.9,26.7,85.4,11.1,75.1,12.9,86.6,32.6,Forest,1,1,Carnivore,Invertivore,Insessorial,-27.47,3.91,-9.95,-62.94,4503316.81,Extant
Campylorhynchus yucatanicus,Campylorhynchus_yucatanicus,Troglodytidae,Passeriformes,27.2,18.2,4.4,5.6,24.6,76.5,9.9,66.6,12.9,80.5,35.5,Shrubland,2,1,Carnivore,Invertivore,Generalist,20.55,21.61,21.22,-89.05,9706.72,Extant
Campylorhynchus zonatus,Campylorhynchus_zonatus,Troglodytidae,Passeriformes,24,14.4,3.9,4.6,25.1,78.4,9.7,67.3,12.6,82,34.6,Forest,1,1,Carnivore,Invertivore,Insessorial,-0.91,21.15,13.05,-85.8,552668.86,Extant
Catherpes mexicanus,Catherpes_mexicanus,Troglodytidae,Passeriformes,23.9,15.7,3.2,3.4,18.6,64.3,8.3,55.3,13.2,56,12,Rock,3,1,Carnivore,Invertivore,Insessorial,15.83,51.83,35.18,-109.73,4298192.46,Extant
Cinnycerthia fulva,Cinnycerthia_fulva,Troglodytidae,Passeriformes,18.2,9.8,3.6,4,23.8,55.6,6.7,48.9,11.9,54.7,16.5,Forest,1,1,Carnivore,Invertivore,Generalist,-17.44,-11.27,-14.41,-69.75,108129.23,Extant
Cinnycerthia olivascens,Cinnycerthia_olivascens,Troglodytidae,Passeriformes,17.9,10.9,3.9,4.8,25.3,66.6,6.5,62.5,9.4,65.9,24.4,Forest,1,1,Carnivore,Invertivore,Generalist,-6.37,6.99,1.79,-76.61,95207.43,Extant
Cinnycerthia peruana,Cinnycerthia_peruana,Troglodytidae,Passeriformes,17.6,10.2,4.1,4.7,25.2,59.8,6.2,53.6,10.3,59.3,19.5,Forest,1,1,Carnivore,Invertivore,Generalist,-13.46,-5.37,-9.16,-76.32,75819.14,Extant
Cinnycerthia unirufa,Cinnycerthia_unirufa,Troglodytidae,Passeriformes,18.8,10.5,3.8,4.6,26.9,73.6,9.2,66.3,12.3,71.6,29.4,Forest,1,1,Carnivore,Invertivore,Generalist,-5.44,11.07,2.41,-76.16,153814.03,Extant
Cistothorus apolinari,Cistothorus_apolinari,Troglodytidae,Passeriformes,14.9,8.7,2.6,3.4,23.2,54,9.1,44.9,16.9,47,17.7,Grassland,2,1,Carnivore,Invertivore,Insessorial,3.54,6.48,4.09,-74.28,2671.88,Extant
Cistothorus meridae,Cistothorus_meridae,Troglodytidae,Passeriformes,15,7.9,2.5,3.2,19.4,48.4,5.7,42.7,11.7,36.1,9.7,Grassland,2,1,Carnivore,Invertivore,Insessorial,7.99,9.28,8.67,-71.14,4041.71,Extant
Cistothorus palustris,Cistothorus_palustris,Troglodytidae,Passeriformes,16,9.9,2.7,3.4,19.2,48.4,9.7,38.7,20,39.5,10.8,Wetland,3,2,Carnivore,Invertivore,Insessorial,19.33,59.35,44.47,-102.65,4855077.99,Extant
Cistothorus platensis,Cistothorus_platensis,Troglodytidae,Passeriformes,14.6,7.7,2.3,2.9,19.9,45.6,6.1,39.6,13.4,46,9,Grassland,3,2,Carnivore,Invertivore,Insessorial,-55.72,55.64,-4.21,-73.33,6645038.83,Extant
Cyphorhinus arada,Cyphorhinus_arada,Troglodytidae,Passeriformes,17.7,12.4,3.6,5,24,64.4,6.5,57,10.1,39,20.9,Forest,1,1,Carnivore,Invertivore,Generalist,-17.28,8.63,-3.48,-64.32,4458849.32,Extant
Cyphorhinus phaeocephalus,Cyphorhinus_phaeocephalus,Troglodytidae,Passeriformes,19.5,13.2,3.5,5.3,23.7,63.1,6.7,56.6,10.6,32.6,24.6,Forest,1,1,Carnivore,Invertivore,Terrestrial,-3.64,15.32,6.82,-79.26,318922.64,Extant
Cyphorhinus thoracicus,Cyphorhinus_thoracicus,Troglodytidae,Passeriformes,26.5,14.7,4.1,6,27.7,67.3,6.5,60.1,9.8,48.1,31.3,Forest,1,1,Carnivore,Invertivore,Terrestrial,-15.03,7.14,-5.47,-75.3,140605.51,Extant
Ferminia cerverai,Ferminia_cerverai,Troglodytidae,Passeriformes,17.2,10.4,3,4.5,22,52,3.5,48.5,6.8,62,26,Wetland,2,1,Carnivore,Invertivore,Insessorial,22.08,22.64,22.39,-81.32,2102.53,Extant
Henicorhina leucophrys,Henicorhina_leucophrys,Troglodytidae,Passeriformes,16.7,9.9,3.2,3.4,23.7,53.5,4.4,48.3,8.4,29.6,16.2,Forest,1,1,Carnivore,Invertivore,Generalist,-18.01,22.37,4.45,-81.09,726481.61,Extant
Henicorhina leucoptera,Henicorhina_leucoptera,Troglodytidae,Passeriformes,17.9,10.6,2.9,3.5,24.5,54,6.1,47.9,11.3,33.9,13.6,Forest,2,1,Carnivore,Invertivore,Insessorial,-8.26,-4.07,-4.92,-78.56,4675.92,Extant
Henicorhina leucosticta,Henicorhina_leucosticta,Troglodytidae,Passeriformes,17.3,11,3.5,3.6,22.5,54.2,5.5,50.4,9.9,30.9,14.2,Forest,1,1,Carnivore,Invertivore,Generalist,-10.13,21.93,4.2,-70.6,2745879.51,Extant
Henicorhina negreti,Henicorhina_negreti,Troglodytidae,Passeriformes,17.5,10.3,2.3,3,18.1,53.9,5.5,48.4,10.2,25.9,15.9,Forest,1,1,Carnivore,Invertivore,Insessorial,2.27,6.46,4.89,-76.28,1922.5,Extant
Hylorchilus navai,Hylorchilus_navai,Troglodytidae,Passeriformes,30.8,21.4,4.2,4.3,29.3,69,6.9,62.4,9.9,41,29.3,Forest,2,1,Carnivore,Invertivore,Generalist,16.54,17.48,17.21,-94.3,2657.54,Extant
Hylorchilus sumichrasti,Hylorchilus_sumichrasti,Troglodytidae,Passeriformes,30.8,21.4,4.2,4.3,29.3,69,6.9,62.4,9.9,41,28.4,Forest,2,1,Carnivore,Invertivore,Generalist,17.3,18.89,18.11,-96.36,6551.84,Extant
Microcerculus bambla,Microcerculus_bambla,Troglodytidae,Passeriformes,20,12.1,3.3,3.8,22.9,59.5,5.8,53.6,9.9,22.8,19.1,Forest,1,1,Carnivore,Invertivore,Terrestrial,-12.39,7.19,1.55,-60.3,1714246.73,Extant
Microcerculus marginatus,Microcerculus_marginatus,Troglodytidae,Passeriformes,19.2,12.2,3.4,3.6,23.5,58.7,6.8,51.5,11.6,24.2,18.2,Forest,1,1,Carnivore,Invertivore,Generalist,-17.19,11.45,-5.05,-65.66,4781168.47,Extant
Microcerculus philomela,Microcerculus_philomela,Troglodytidae,Passeriformes,19.2,12,3.6,3.9,20.7,58.4,4.7,52.9,8.1,19.2,17.8,Forest,1,1,Carnivore,Invertivore,Terrestrial,10.06,17.59,14.46,-86.97,177561,Extant
Microcerculus ustulatus,Microcerculus_ustulatus,Troglodytidae,Passeriformes,17.2,10.4,3.4,3.9,22.4,58,4.2,53.6,7.2,31,21,Forest,1,1,Carnivore,Invertivore,Generalist,0.29,7.34,4.19,-63.92,265691.92,Extant
Odontorchilus branickii,Odontorchilus_branickii,Troglodytidae,Passeriformes,14.5,9.1,3,3,16.1,58.2,8,50.2,13.7,52.6,9.6,Forest,1,1,Carnivore,Invertivore,Insessorial,-15.39,3.65,-6.3,-75.58,155452.65,Extant
Odontorchilus cinereus,Odontorchilus_cinereus,Troglodytidae,Passeriformes,16.1,10.1,3.1,3.2,16,52.5,8.9,43.6,17,44.2,11,Forest,1,1,Carnivore,Invertivore,Insessorial,-15.7,-2.26,-9.29,-58.41,1047805.04,Extant
