Phylo,Family,Order,Scientific_name,Mass
Haliaeetus_pelagicus,Accipitridae,Accipitriformes,Haliaeetus pelagicus,7757
Haliaeetus_sanfordi,Accipitridae,Accipitriformes,Haliaeetus sanfordi,1980
Haliaeetus_vocifer,Accipitridae,Accipitriformes,Haliaeetus vocifer,3400
Haliaeetus_vociferoides,Accipitridae,Accipitriformes,Haliaeetus vociferoides,3000
Haliastur_indus,Accipitridae,Accipitriformes,Haliastur indus,529
Haliastur_sphenurus,Accipitridae,Accipitriformes,Haliastur sphenurus,753
Hamirostra_melanosternon,Accipitridae,Accipitriformes,Hamirostra melanosternon,1196
Harpagus_bidentatus,Accipitridae,Accipitriformes,Harpagus bidentatus,215.3
Harpagus_diodon,Accipitridae,Accipitriformes,Harpagus diodon,200
Harpia_harpyja,Accipitridae,Accipitriformes,Harpia harpyja,4800
Harpyhaliaetus_coronatus,Accipitridae,Accipitriformes,Harpyhaliaetus coronatus,2950
Harpyhaliaetus_solitarius,Accipitridae,Accipitriformes,Harpyhaliaetus solitarius,3000
Harpyopsis_novaeguineae,Accipitridae,Accipitriformes,Harpyopsis novaeguineae,1959.6
Helicolestes_hamatus,Accipitridae,Accipitriformes,Helicolestes hamatus,425.5
Henicopernis_infuscatus,Accipitridae,Accipitriformes,Henicopernis infuscatus,571.2
Henicopernis_longicauda,Accipitridae,Accipitriformes,Henicopernis longicauda,571.2
Hieraaetus_ayresii,Accipitridae,Accipitriformes,Hieraaetus ayresii,806.1
Hieraaetus_morphnoides,Accipitridae,Accipitriformes,Hieraaetus morphnoides,775.1
Hieraaetus_pennatus,Accipitridae,Accipitriformes,Hieraaetus pennatus,823.8
Hieraaetus_spilogaster,Accipitridae,Accipitriformes,Hieraaetus spilogaster,1466.2
Hieraaetus_weiskei,Accipitridae,Accipitriformes,Hieraaetus weiskei,775.1
Ichthyophaga_humilis,Accipitridae,Accipitriformes,Ichthyophaga humilis,782
Ichthyophaga_ichthyaetus,Accipitridae,Accipitriformes,Ichthyophaga ichthyaetus,1590
Ictinaetus_malayensis,Accipitridae,Accipitriformes,Ictinaetus malayensis,1028
Ictinia_mississippiensis,Accipitridae,Accipitriformes,Ictinia mississippiensis,276
Ictinia_plumbea,Accipitridae,Accipitriformes,Ictinia plumbea,249.9
Kaupifalco_monogrammicus,Accipitridae,Accipitriformes,Kaupifalco monogrammicus,278.9
Leptodon_cayanensis,Accipitridae,Accipitriformes,Leptodon cayanensis,474
Leptodon_forbesi,Accipitridae,Accipitriformes,Leptodon forbesi,577
Leucopternis_albicollis,Accipitridae,Accipitriformes,Leucopternis albicollis,703.7
Leucopternis_kuhli,Accipitridae,Accipitriformes,Leucopternis kuhli,352.1
Leucopternis_lacernulatus,Accipitridae,Accipitriformes,Leucopternis lacernulatus,312
Leucopternis_melanops,Accipitridae,Accipitriformes,Leucopternis melanops,312
Leucopternis_occidentalis,Accipitridae,Accipitriformes,Leucopternis occidentalis,660
Leucopternis_plumbeus,Accipitridae,Accipitriformes,Leucopternis plumbeus,482
Leucopternis_polionotus,Accipitridae,Accipitriformes,Leucopternis polionotus,703.7
Leucopternis_princeps,Accipitridae,Accipitriformes,Leucopternis princeps,1000
Leucopternis_schistaceus,Accipitridae,Accipitriformes,Leucopternis schistaceus,1000
Leucopternis_semiplumbeus,Accipitridae,Accipitriformes,Leucopternis semiplumbeus,285
Lophaetus_occipitalis,Accipitridae,Accipitriformes,Lophaetus occipitalis,1067
Lophoictinia_isura,Accipitridae,Accipitriformes,Lophoictinia isura,579.4
Lophotriorchis_kienerii,Accipitridae,Accipitriformes,Lophotriorchis kienerii,799
Macheiramphus_alcinus,Accipitridae,Accipitriformes,Macheiramphus alcinus,650
Megatriorchis_doriae,Accipitridae,Accipitriformes,Megatriorchis doriae,1000
Melierax_canorus,Accipitridae,Accipitriformes,Melierax canorus,663.3
Melierax_gabar,Accipitridae,Accipitriformes,Melierax gabar,169.6
Melierax_metabates,Accipitridae,Accipitriformes,Melierax metabates,674.5
Melierax_poliopterus,Accipitridae,Accipitriformes,Melierax poliopterus,629.9
Milvus_migrans,Accipitridae,Accipitriformes,Milvus migrans,734.1
Milvus_milvus,Accipitridae,Accipitriformes,Milvus milvus,1071.8
Morphnus_guianensis,Accipitridae,Accipitriformes,Morphnus guianensis,1750
Necrosyrtes_monachus,Accipitridae,Accipitriformes,Necrosyrtes monachus,2043
Neophron_percnopterus,Accipitridae,Accipitriformes,Neophron percnopterus,2082
Nisaetus_alboniger,Accipitridae,Accipitriformes,Nisaetus alboniger,830
Nisaetus_bartelsi,Accipitridae,Accipitriformes,Nisaetus bartelsi,830
Nisaetus_cirrhatus,Accipitridae,Accipitriformes,Nisaetus cirrhatus,1475.1
Nisaetus_floris,Accipitridae,Accipitriformes,Nisaetus floris,1475.1
Nisaetus_lanceolatus,Accipitridae,Accipitriformes,Nisaetus lanceolatus,1168
Nisaetus_nanus,Accipitridae,Accipitriformes,Nisaetus nanus,557.8
Nisaetus_nipalensis,Accipitridae,Accipitriformes,Nisaetus nipalensis,3005
Nisaetus_philippensis,Accipitridae,Accipitriformes,Nisaetus philippensis,1168
Pandion_haliaetus,Accipitridae,Accipitriformes,Pandion haliaetus,1483.2
Parabuteo_unicinctus,Accipitridae,Accipitriformes,Parabuteo unicinctus,850.3
Pernis_apivorus,Accipitridae,Accipitriformes,Pernis apivorus,754.4
Pernis_celebensis,Accipitridae,Accipitriformes,Pernis celebensis,722
Pernis_ptilorhyncus,Accipitridae,Accipitriformes,Pernis ptilorhyncus,1141.1
Pithecophaga_jefferyi,Accipitridae,Accipitriformes,Pithecophaga jefferyi,5175.3
Polemaetus_bellicosus,Accipitridae,Accipitriformes,Polemaetus bellicosus,3964.5
Polyboroides_radiatus,Accipitridae,Accipitriformes,Polyboroides radiatus,633.2
Polyboroides_typus,Accipitridae,Accipitriformes,Polyboroides typus,633.2
Rostrhamus_sociabilis,Accipitridae,Accipitriformes,Rostrhamus sociabilis,366.9
Sagittarius_serpentarius,Accipitridae,Accipitriformes,Sagittarius serpentarius,4017
Sarcogyps_calvus,Accipitridae,Accipitriformes,Sarcogyps calvus,4469.9
Spilornis_cheela,Accipitridae,Accipitriformes,Spilornis cheela,597.7
Spilornis_elgini,Accipitridae,Accipitriformes,Spilornis elgini,895
Spilornis_holospilus,Accipitridae,Accipitriformes,Spilornis holospilus,705
Spilornis_kinabaluensis,Accipitridae,Accipitriformes,Spilornis kinabaluensis,597.7
Spilornis_klossi,Accipitridae,Accipitriformes,Spilornis klossi,450
Spilornis_rufipectus,Accipitridae,Accipitriformes,Spilornis rufipectus,705
Spizaetus_isidori,Accipitridae,Accipitriformes,Spizaetus isidori,1197.4
Spizaetus_melanoleucus,Accipitridae,Accipitriformes,Spizaetus melanoleucus,850
Spizaetus_ornatus,Accipitridae,Accipitriformes,Spizaetus ornatus,1197.4
Spizaetus_tyrannus,Accipitridae,Accipitriformes,Spizaetus tyrannus,1007.1
Stephanoaetus_coronatus,Accipitridae,Accipitriformes,Stephanoaetus coronatus,3640
Terathopius_ecaudatus,Accipitridae,Accipitriformes,Terathopius ecaudatus,2200
Torgos_tracheliotos,Accipitridae,Accipitriformes,Torgos tracheliotos,6969
Trigonoceps_occipitalis,Accipitridae,Accipitriformes,Trigonoceps occipitalis,3016
Urotriorchis_macrourus,Accipitridae,Accipitriformes,Urotriorchis macrourus,492
Cathartes_aura,Cathartidae,Accipitriformes,Cathartes aura,1518.2
Cathartes_burrovianus,Cathartidae,Accipitriformes,Cathartes burrovianus,935
Cathartes_melambrotus,Cathartidae,Accipitriformes,Cathartes melambrotus,1373
Coragyps_atratus,Cathartidae,Accipitriformes,Coragyps atratus,1881.7
Gymnogyps_californianus,Cathartidae,Accipitriformes,Gymnogyps californianus,8442.7
Sarcoramphus_papa,Cathartidae,Accipitriformes,Sarcoramphus papa,3400
Vultur_gryphus,Cathartidae,Accipitriformes,Vultur gryphus,11236.1
Aix_galericulata,Anatidae,Anseriformes,Aix galericulata,567
Aix_sponsa,Anatidae,Anseriformes,Aix sponsa,657.6
Alopochen_aegyptiaca,Anatidae,Anseriformes,Alopochen aegyptiaca,1873
Amazonetta_brasiliensis,Anatidae,Anseriformes,Amazonetta brasiliensis,500
Anas_acuta,Anatidae,Anseriformes,Anas acuta,944.6
Anas_americana,Anatidae,Anseriformes,Anas americana,754.6
Anas_andium,Anatidae,Anseriformes,Anas andium,434
Anas_aucklandica,Anatidae,Anseriformes,Anas aucklandica,499.1
Anas_bahamensis,Anatidae,Anseriformes,Anas bahamensis,490
Anas_bernieri,Anatidae,Anseriformes,Anas bernieri,378.5
Anas_capensis,Anatidae,Anseriformes,Anas capensis,402
Anas_castanea,Anatidae,Anseriformes,Anas castanea,624
Anas_chlorotis,Anatidae,Anseriformes,Anas chlorotis,499.1
Anas_clypeata,Anatidae,Anseriformes,Anas clypeata,612.6
Anas_crecca,Anatidae,Anseriformes,Anas crecca,341.9
Anas_cyanoptera,Anatidae,Anseriformes,Anas cyanoptera,377.5
Anas_discors,Anatidae,Anseriformes,Anas discors,359.4
Anas_eatoni,Anatidae,Anseriformes,Anas eatoni,944.6
Anas_erythrorhyncha,Anatidae,Anseriformes,Anas erythrorhyncha,558.8
Anas_falcata,Anatidae,Anseriformes,Anas falcata,645.8
Anas_flavirostris,Anatidae,Anseriformes,Anas flavirostris,434
Anas_formosa,Anatidae,Anseriformes,Anas formosa,434
Anas_fulvigula,Anatidae,Anseriformes,Anas fulvigula,843.4
Anas_georgica,Anatidae,Anseriformes,Anas georgica,623.8
Anas_gibberifrons,Anatidae,Anseriformes,Anas gibberifrons,488.1
Anas_gracilis,Anatidae,Anseriformes,Anas gracilis,488.1
Anas_hottentota,Anatidae,Anseriformes,Anas hottentota,276.4
Anas_laysanensis,Anatidae,Anseriformes,Anas laysanensis,843.4
Anas_luzonica,Anatidae,Anseriformes,Anas luzonica,832
Anas_melleri,Anatidae,Anseriformes,Anas melleri,959.2
Anas_nesiotis,Anatidae,Anseriformes,Anas nesiotis,499.1
Anas_penelope,Anatidae,Anseriformes,Anas penelope,770
Anas_platalea,Anatidae,Anseriformes,Anas platalea,465.4
Anas_platyrhynchos,Anatidae,Anseriformes,Anas platyrhynchos,843.4
Anas_poecilorhyncha,Anatidae,Anseriformes,Anas poecilorhyncha,1000
Anas_puna,Anatidae,Anseriformes,Anas puna,595.2
Anas_querquedula,Anatidae,Anseriformes,Anas querquedula,325.6
Anas_rhynchotis,Anatidae,Anseriformes,Anas rhynchotis,639
Anas_rubripes,Anatidae,Anseriformes,Anas rubripes,1241
Anas_sibilatrix,Anatidae,Anseriformes,Anas sibilatrix,923.2
Anas_smithii,Anatidae,Anseriformes,Anas smithii,591.5
Anas_sparsa,Anatidae,Anseriformes,Anas sparsa,981.5
Anas_strepera,Anatidae,Anseriformes,Anas strepera,915.6
Anas_superciliosa,Anatidae,Anseriformes,Anas superciliosa,882.8
Anas_undulata,Anatidae,Anseriformes,Anas undulata,1008
Anas_versicolor,Anatidae,Anseriformes,Anas versicolor,595.2
Anas_wyvilliana,Anatidae,Anseriformes,Anas wyvilliana,843.4
Anser_albifrons,Anatidae,Anseriformes,Anser albifrons,2506.4
Anser_anser,Anatidae,Anseriformes,Anser anser,3302.4
Anser_brachyrhynchus,Anatidae,Anseriformes,Anser brachyrhynchus,2642
Anser_cygnoides,Anatidae,Anseriformes,Anser cygnoides,3511.9
Anser_erythropus,Anatidae,Anseriformes,Anser erythropus,1755.5
Anser_fabalis,Anatidae,Anseriformes,Anser fabalis,2754.7
Anser_indicus,Anatidae,Anseriformes,Anser indicus,2212.6
Aythya_affinis,Anatidae,Anseriformes,Aythya affinis,819.5
Aythya_americana,Anatidae,Anseriformes,Aythya americana,1075.7
Aythya_australis,Anatidae,Anseriformes,Aythya australis,869.4
Aythya_baeri,Anatidae,Anseriformes,Aythya baeri,681.2
Aythya_collaris,Anatidae,Anseriformes,Aythya collaris,704.6
Aythya_ferina,Anatidae,Anseriformes,Aythya ferina,823
Aythya_fuligula,Anatidae,Anseriformes,Aythya fuligula,701.2
Aythya_innotata,Anatidae,Anseriformes,Aythya innotata,685
Aythya_marila,Anatidae,Anseriformes,Aythya marila,1005.4
Aythya_novaeseelandiae,Anatidae,Anseriformes,Aythya novaeseelandiae,682
Aythya_nyroca,Anatidae,Anseriformes,Aythya nyroca,574
Aythya_valisineria,Anatidae,Anseriformes,Aythya valisineria,1202
Biziura_lobata,Anatidae,Anseriformes,Biziura lobata,1928.5
Branta_bernicla,Anatidae,Anseriformes,Branta bernicla,1277.9
Branta_canadensis,Anatidae,Anseriformes,Branta canadensis,2811.7
Branta_hutchinsii,Anatidae,Anseriformes,Branta hutchinsii,2811.7
Branta_leucopsis,Anatidae,Anseriformes,Branta leucopsis,1684
Branta_ruficollis,Anatidae,Anseriformes,Branta ruficollis,1226.5
Branta_sandvicensis,Anatidae,Anseriformes,Branta sandvicensis,2044.1
Bucephala_albeola,Anatidae,Anseriformes,Bucephala albeola,397.5
Bucephala_clangula,Anatidae,Anseriformes,Bucephala clangula,918.6
Bucephala_islandica,Anatidae,Anseriformes,Bucephala islandica,921.2
Cairina_moschata,Anatidae,Anseriformes,Cairina moschata,2415.8
Cairina_scutulata,Anatidae,Anseriformes,Cairina scutulata,2937.4
Callonetta_leucophrys,Anatidae,Anseriformes,Callonetta leucophrys,362.8
Cereopsis_novaehollandiae,Anatidae,Anseriformes,Cereopsis novaehollandiae,3560
