Phylo,Family,Order,Scientific_name,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Species.Status
Aythya_australis,Anatidae,Anseriformes,Aythya australis,45.6,29.1,20.3,15.5,33.7,213.6,100.1,113.2,47,56,869.4,Wetland,3,1,Carnivore,Aquatic predator,Aquatic,-43.64,-10.69,-25.55,135.33,6825013.89,Extant
Aythya_baeri,Anatidae,Anseriformes,Aythya baeri,44.7,31,20.8,14.1,31.7,201.8,97.6,102.2,48.8,58.2,681.2,Wetland,3,3,Omnivore,Herbivore aquatic,Aquatic,42.21,59.15,49.45,125.01,2258041.25,Extant
Aythya_collaris,Anatidae,Anseriformes,Aythya collaris,51.4,29.9,18.9,13.6,33.2,194.8,92.6,99.4,48.2,57.6,704.6,Wetland,3,3,Omnivore,Herbivore aquatic,Aquatic,10.04,68.13,52.28,-100.06,4899833.68,Extant
Aythya_ferina,Anatidae,Anseriformes,Aythya ferina,50.5,30.5,17.9,13.7,35,208.6,104.4,104.2,50.1,53.7,823,Wetland,3,1,Herbivore,Herbivore aquatic,Aquatic,33.87,66.67,53.5,67.94,16611109.18,Extant
Aythya_fuligula,Anatidae,Anseriformes,Aythya fuligula,43.9,27.6,19.5,13.2,31.3,196.9,99,98.6,50.1,53.4,701.2,Wetland,3,2,Omnivore,Herbivore aquatic,Aquatic,39.92,71.46,57.84,83.37,20377977.97,Extant
Aythya_innotata,Anatidae,Anseriformes,Aythya innotata,50.8,30.2,20.1,12.4,32.9,187.2,87,98.3,46.9,63.2,685,Wetland,3,1,Omnivore,Aquatic predator,Aquatic,-14.49,-14.24,-14.36,48.55,597.73,Extant
Aythya_marila,Anatidae,Anseriformes,Aythya marila,47.8,29.7,22.9,14.3,34.2,213.5,104.1,108.9,48.9,53.5,1005.4,Wetland,3,3,Omnivore,Aquatic predator,Aquatic,46.75,74.67,64.6,26.26,11929401.28,Extant
Aythya_novaeseelandiae,Anatidae,Anseriformes,Aythya novaeseelandiae,38.2,26.3,18.9,13,28.4,177,85.3,91.7,48.2,49,682,Wetland,3,2,Omnivore,Herbivore aquatic,Aquatic,-47.29,-34.53,-42.12,172.18,162640.63,Extant
Aythya_nyroca,Anatidae,Anseriformes,Aythya nyroca,41.2,27.5,18.4,12.5,28.6,182.5,89.1,93.2,48.9,53,574,Wetland,3,3,Herbivore,Herbivore aquatic,Aquatic,23.54,57.76,46.16,49.61,6827514.86,Extant
Aythya_valisineria,Anatidae,Anseriformes,Aythya valisineria,58.5,37,18.8,13.4,37.9,223.5,93.4,130.1,42,52.8,1202,Wetland,3,3,Herbivore,Herbivore aquatic,Aquatic,37.03,69.38,57,-122.37,3654390.23,Extant
Biziura_lobata,Anatidae,Anseriformes,Biziura lobata,41.6,23.4,28.2,18.1,46.6,211.5,85.9,129.3,40,105.2,1928.5,Wetland,3,2,Carnivore,Aquatic predator,Aquatic,-43.64,-22,-34.06,141.96,1207634.45,Extant
Branta_bernicla,Anatidae,Anseriformes,Branta bernicla,40.7,21.5,14.8,13.5,55.2,319.6,167.7,152.7,52.3,94,1277.9,Grassland,3,3,Herbivore,Herbivore terrestrial,Terrestrial,55.56,83.63,74.79,-22.74,3125724.3,Extant
Branta_canadensis,Anatidae,Anseriformes,Branta canadensis,50,28.2,19.9,15.3,73.3,422.9,206.5,210.9,49.4,121.6,2811.7,Grassland,3,3,Herbivore,Herbivore terrestrial,Terrestrial,26.42,73.07,53.3,-104.21,12236810.45,Extant
Branta_hutchinsii,Anatidae,Anseriformes,Branta hutchinsii,42.1,20.9,17.1,12.3,71,396.3,176.6,219.7,44.6,120.7,2811.7,Grassland,3,3,Herbivore,Herbivore terrestrial,Terrestrial,52.33,71.39,66.72,-124.78,1274687.67,Extant
Branta_leucopsis,Anatidae,Anseriformes,Branta leucopsis,39,20.3,16.1,11.7,64.3,381.8,199.8,195.2,50.6,121,1684,Grassland,3,3,Herbivore,Herbivore terrestrial,Terrestrial,55.56,79.81,72.42,-0.02,178673.97,Extant
Branta_ruficollis,Anatidae,Anseriformes,Branta ruficollis,28.5,14.9,14.1,10.8,54.9,345.6,183.8,161.5,53.2,101,1226.5,Grassland,3,3,Herbivore,Herbivore terrestrial,Terrestrial,66.82,76.96,71.96,90.31,754114,Extant
Branta_sandvicensis,Anatidae,Anseriformes,Branta sandvicensis,43.8,21.1,16.8,13.5,80.9,364,146.8,217,40.4,141.6,2044.1,Shrubland,3,1,Herbivore,Herbivore terrestrial,Terrestrial,19.23,22.23,20.67,-157.05,1904.15,Extant
Bucephala_albeola,Anatidae,Anseriformes,Bucephala albeola,28.8,18.9,12.9,9.9,30.1,160.8,75,83.5,47.4,65.4,397.5,Wetland,3,3,Carnivore,Aquatic predator,Aquatic,39.82,68.1,56.77,-112.31,4859143.91,Extant
Bucephala_clangula,Anatidae,Anseriformes,Bucephala clangula,38.1,17.7,16.1,11.9,34.1,208.7,105.4,99.4,51.4,82,918.6,Wetland,3,3,Carnivore,Aquatic predator,Aquatic,41.89,70.72,58.51,35.56,22082935.41,Extant
Bucephala_islandica,Anatidae,Anseriformes,Bucephala islandica,34.9,18.2,16.6,12.7,38.2,221.7,103,115,47.2,86,921.2,Wetland,3,2,Carnivore,Aquatic predator,Aquatic,42.13,68.47,56.43,-124.05,2257979.96,Extant
Cairina_moschata,Anatidae,Anseriformes,Cairina moschata,65.9,38.7,22.6,15.7,56.2,345,124,226.8,35.2,160.2,2415.8,Wetland,3,1,Omnivore,Omnivore,Generalist,-33.4,28.75,-6.9,-60.89,14188216.55,Extant
Cairina_scutulata,Anatidae,Anseriformes,Cairina scutulata,65.1,43.5,22.9,18.5,53.9,341.6,124.8,214.8,36.6,119.6,2937.4,Wetland,3,1,Omnivore,Omnivore,Aquatic,-5.95,28.39,12.09,98.98,999723.98,Extant
