"","Phylo","Family","Order","Scientific_name","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status","Habitat_Category","IsMigrate","cMass"
"257","Sylvia_communis","Sylviidae","Passeriformes","Sylvia communis",13.6,7,2.8,3.3,21.3,72.6,17.6,55.1,24.2,63.3,15.1,"Shrubland","3","3","Omnivore","Invertivore","Insessorial",31.17,68.4,50.84,43.84,14124012.64,"Extant","Arid_Open",0,0.243880554934465
"258","Sylvia_conspicillata","Sylviidae","Passeriformes","Sylvia conspicillata",11.7,6,2.4,2.4,17.9,55.4,10.8,44.8,19.4,51.1,9,"Shrubland","2","3","Carnivore","Invertivore","Insessorial",14.8,44.66,35.25,1.99,1315716.19,"Extant","Arid_Open",0,-0.273589611550194
"259","Sylvia_curruca","Sylviidae","Passeriformes","Sylvia curruca",12.6,6.5,2.6,3,18.9,66.2,15.3,50.9,23.1,57.1,11.4,"Shrubland","3","3","Omnivore","Invertivore","Insessorial",31.4,69.78,55.05,62.03,16659794.83,"Extant","Arid_Open",0,-0.0372008334859641
"260","Sylvia_deserticola","Sylviidae","Passeriformes","Sylvia deserticola",11,6,2.4,2.6,18.6,53.9,8.7,45.1,16.2,54.2,8.6,"Shrubland","2","1","Carnivore","Invertivore","Insessorial",29.36,36,33.31,-0.38,297087.16,"Extant","Arid_Open",1,-0.319051985626952
"261","Sylvia_hortensis","Sylviidae","Passeriformes","Sylvia hortensis",17.7,10.1,3.7,4.3,23.9,79.2,19.2,60.2,24.1,67.6,21.9,"Woodland","2","3","Carnivore","Invertivore","Insessorial",26.75,47.78,37.58,30.89,3045829.07,"Extant","Forested_Vegetated",0,0.615672447936041
"262","Sylvia_layardi","Sylviidae","Passeriformes","Sylvia layardi",12.9,6.7,3.2,3.7,20.2,64.5,10.1,53.8,15.8,60.2,14.3,"Shrubland","2","1","Carnivore","Invertivore","Insessorial",-34.39,-18.86,-29.32,20.95,780211.28,"Extant","Arid_Open",1,0.189445348379448
"263","Sylvia_leucomelaena","Sylviidae","Passeriformes","Sylvia leucomelaena",13.8,8,3,3.7,20.2,69.1,9.7,60,13.8,71.8,13.9,"Woodland","2","1","Carnivore","Invertivore","Insessorial",8.72,31.63,17,44.69,547018.24,"Extant","Forested_Vegetated",1,0.161074651250232
"264","Sylvia_lugens","Sylviidae","Passeriformes","Sylvia lugens",13.5,7.3,3,3.4,19.9,63.4,8.9,55.1,13.9,60.8,14.9,"Woodland","2","1","Carnivore","Invertivore","Insessorial",-15.87,12.33,3.82,36.84,401532.97,"Extant","Forested_Vegetated",1,0.230547024064999
"265","Sylvia_melanocephala","Sylviidae","Passeriformes","Sylvia melanocephala",13.7,7.3,2.9,3,20.4,58.7,10.5,48,18,61.3,11.7,"Shrubland","2","2","Omnivore","Invertivore","Insessorial",23.19,45.8,37.82,8.8,1781820.85,"Extant","Arid_Open",0,-0.0112253470827035
"266","Sylvia_melanothorax","Sylviidae","Passeriformes","Sylvia melanothorax",12.2,6.8,2.5,2.8,18.1,57.5,10.9,46.5,18.9,56.4,11.4,"Forest","2","3","Carnivore","Invertivore","Insessorial",34.56,35.7,35.04,33.21,7952.61,"Extant","Forested_Vegetated",0,-0.0372008334859641
"267","Sylvia_minula","Sylviidae","Passeriformes","Sylvia minula",11.3,5.7,2.7,2.8,19,59.9,11.9,48.9,19.6,55.5,11.4,"Shrubland","3","3","Omnivore","Invertivore","Insessorial",NA,NA,NA,NA,NA,"Extant","Arid_Open",0,-0.0372008334859641
