"","Phylo","Family","Order","Scientific_name","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status"
"46","Geranospiza_caerulescens","Accipitridae","Accipitriformes","Geranospiza caerulescens",25.9,16.5,9.6,12.9,71.7,269.1,65.1,205.4,24.4,211.4,302.5,"Woodland",2,"sedentary","Carnivore","Vertivore","Insessorial",-33.91,28.85,-6.64,-60.96,14333669.12,"Extant"
"47","Butastur_rufipennis","Accipitridae","Accipitriformes","Butastur rufipennis",28.7,16.3,10.3,12.3,58.4,311.2,143.5,170,45.8,181.4,334.9,"Woodland",3,"sedentary","Carnivore","Invertivore","Insessorial",-6.49,19.11,12.64,11.75,3625177.22,"Extant"
"48","Buteo_auguralis","Accipitridae","Accipitriformes","Buteo auguralis",33.3,18.6,11.2,15.6,73.6,356.2,135.9,223.4,37.8,192.6,663.9,"Forest",1,"sedentary","Carnivore","Vertivore","Insessorial",-12.58,16.03,7.61,12.15,7045229.26,"Extant"
"49","Spizaetus_tyrannus","Accipitridae","Accipitriformes","Spizaetus tyrannus",42.3,24.9,12.1,21,80.4,384.4,68.6,315.6,17.9,334.4,1007.1,"Forest",2,"sedentary","Carnivore","Vertivore","Insessorial",-30.42,21.81,-4.6,-62.84,8304333.12,"Extant"
"50","Buteogallus_gundlachii","Accipitridae","Accipitriformes","Buteogallus gundlachii",39.6,24.4,12.3,17.3,85.2,348.1,112.6,235.6,32.4,190,975.1,"Woodland",2,"sedentary","Carnivore","Omnivore","Insessorial",19.83,23.28,21.78,-80.11,14641.79,"Extant"
"51","Accipiter_albogularis","Accipitridae","Accipitriformes","Accipiter albogularis",27.7,17.8,10.6,14.7,62,235.2,81.8,159.5,33.9,169,248.8,"Forest",1,"partially_migratory","Carnivore","Vertivore","Insessorial",-11.73,-4.02,-8.15,158.49,37461.21,"Extant"
"52","Accipiter_badius","Accipitridae","Accipitriformes","Accipiter badius",20.6,12.1,8.8,11.6,43,186.7,62.5,127.4,32.9,140.6,131.2,"Shrubland",2,"migratory","Carnivore","Vertivore","Insessorial",-29.47,46.39,8.23,44.98,22374973,"Extant"
"53","Accipiter_bicolor","Accipitridae","Accipitriformes","Accipiter bicolor",26.5,14.8,9.2,13.5,57.5,231.8,46.4,189.6,19.8,188.4,287.5,"Woodland",2,"partially_migratory","Carnivore","Vertivore","Generalist",NA,NA,NA,NA,NA,"Extant"
"54","Accipiter_brachyurus","Accipitridae","Accipitriformes","Accipiter brachyurus",22.5,14,8.9,11.9,61.2,202.2,64.1,138.1,31.7,140.8,142,"Forest",1,"partially_migratory","Carnivore","Vertivore","Insessorial",-6.31,-4.08,-5.45,150.68,35580.71,"Extant"
"55","Accipiter_brevipes","Accipitridae","Accipitriformes","Accipiter brevipes",21.1,12.1,8.7,11.1,46.4,217.6,87.8,129.9,40.2,153.5,186.5,"Forest",1,"migratory","Carnivore","Vertivore","Generalist",31.19,55.86,45.24,45.33,2936751.8,"Extant"
